,urlDrugName,rating,effectiveness,sideEffects,benefitsReview
1270,retin-a-micro,5,Moderately Effective,No Side Effects,Did reduce slightly the sun damage brown spots and noticed a small lessening of tiny wrinkles.
1271,duac,3,Marginally Effective,Mild Side Effects,"Slight improvement of acne, but not enough to make it worth the treatment hassles."
1272,zyrtec,3,Considerably Effective,Extremely Severe Side Effects,Stopped 90% of symptoms
1273,cymbalta,7,Considerably Effective,Mild Side Effects,I was in a better mood. Less crying and less over thinking.
1274,pentasa,10,Moderately Effective,No Side Effects,"5-aminosalicylic acid, or mesalamine, belongs to the group of medications known as anti-inflammatories. It is used to treat mild-to-moderate ulcerative colitis and mild-to-moderate Crohn's disease.5-aminosalicylic acid (or 5-ASA) acts by reducing inflammation in the bowel."
1275,cymbalta,8,Highly Effective,Moderate Side Effects,"Stabilized moods. Made me feel like ""me"".  Allowed me to work much more effectively. Increased focus. Completely stopped crying jags (would get so down I'd cry over very little)."
1276,wellbutrin,7,Moderately Effective,Mild Side Effects,Benefits included decreased anxiey attacks.  It took approximately 2 weeks to see results but after that time it was a noticable difference.
1277,prozac,10,Highly Effective,No Side Effects,"I have taken this drug off and on for 20 years. It is so effective for my depression that I start feeling like I'm ""cured"" and don't need to take it any more. I have found that when I stop taking it, I'll be fine for a few days or weeks, and then I start feeling symptoms of depression again. For the last 3 years, I have taken it regularly and am not planning on stopping. It doesn't make me feel happy every day, because that's not its purpose, however it does keep me from entering a depressive state."
1278,amoxil,7,Highly Effective,Moderate Side Effects,"sore throat went away, cough cleared up; maybe it would have anyway, but at the time it seemed wisest to avoid getting a worse lung infection than letting it heal itself."
1279,renova,9,Considerably Effective,Mild Side Effects,"smoother skin, seemed to have more color, not so pale.  Smaller pores, diminished age spots, although they were still visible."
1280,prozac,10,Highly Effective,Mild Side Effects,"this anti-depressant has basically saved my life.  i have suffered with severe depression and anxiety since childhood.  whether these problems were caused by 'nature or nurture' can be difficult to ascertain, but in my particular case, i believe it was both.  while i was a victim of severe sexual, physical and verbal abuse from a very young age through my teen years, i also seem to have been born with an unusually 'sensitive' disposition, and can get very emotionally and mentally disturbed at times with very little provocation.  everyone who knows me well considers me a very emotional person.  at any rate, it has been the prozac that has helped me in dealing with the stresses of even everyday life.  i first started feeling suicidal in adolescence, and unfortunately, this is still a constant problem.  the prozac, i am convinced, has helped me keep these feelings in check, and although i was just hospitalized for my depression late last year, i am still alive and kicking.  i completely believe that it is the prozac that has saved my life.  before the advent of these types of antidepressants, all that was available were the tricyclics.  those never worked for me the way the ssri's have.  although they did achieve in putting me into a stupor-like condition, they never seemed to alleviate my depression.  the prozac does.  while it doesn't rid me of the problem completely, it has been absolutely invaluable to me, and i believe it is the main reason i am alive to write these words to you today.  i am fortunate in that i have never had a single side effect from the prozac.  actually, there has been a complete loss of libido, which could be a major problem for alot of people;  for me, however, this is not a problem, because i am celibate, and have been for 20 years.  trust me, i had enough sex in my younger years to last me for the rest of my life.  i feel i should mention that i have known many people who take prozac and who have not had any sexual problems at all."
1281,voltaren,10,Highly Effective,No Side Effects,My knee and leg pains lessened considerably after taking Voltaren orally
1282,spironolactone,10,Highly Effective,Mild Side Effects,Reduced acne significantly and quickly.  I had severe cystic acne for about 3-4 months before trying spiro.  Within 2 months it was nearly gone.  I started on 50mg and that was enough to reduce cystic acne.  I just recently went to 75mg and that was to reduce small comedones.
1283,spironolactone,6,Moderately Effective,Moderate Side Effects,lower blood pressure and preventing hypokalemia
1284,lipitor,2,Moderately Effective,Moderate Side Effects,"It lowered the cholesterol levels overall but it is hard to tell if it was really necessary as numbers picked for ""normal"" ranges seem rather arbitrary. some people naturally produce more cholesterol."
1285,efudex,8,Highly Effective,Moderate Side Effects,made the affected area peel and removed the discoloration.
1286,prednisolone,1,Ineffective,Extremely Severe Side Effects,"I have not gotten any benifit from this medecine, only side effects , I am still suffering of my leg pain, it turned that the doctor has given this medecine when not needed, I suffer from hernia and not tendonitis"
1287,zmax,6,Moderately Effective,Mild Side Effects,"The medicine kept the illness from getting worse, my cough loosened up immediately.  The dose and length of treatment was very managable, it was easy to remember to take one dose each day.  The packaging is very convenient - a blister pack so you know immediately how many you have taken."
1288,wellbutrin,10,Highly Effective,No Side Effects,"freedom from depression, in addition, a greater interest in  sex"
1289,differin,8,Considerably Effective,Mild Side Effects,My acne was considerable decreased. I had hoped to see some anti-wrinkle effects as well but did not.
1290,metformin,8,Considerably Effective,Mild Side Effects,"lowered blood sugar, improved mood, less fatigue in the long run"
1291,citalopram,8,Considerably Effective,Moderate Side Effects,"I was unable to get out of bed or see my friends. I hated going out to parties, going to class, or just interacting with people in general. After taking Celexa I found myself jumping out of bed in the morning and feeling ready to start my day. I started going out more on the weekends and my grades improved significantly. I was happy again and I felt like my life was getting back to how it was before I became depressed."
1292,nexium,2,Considerably Effective,Moderate Side Effects,The stop of acid relux symptoms.  The stop of uncomfortable feelings in my esphogus.  The burning feeling and sensation.  Able to eat what i want when i want.
1293,retin-a,8,Moderately Effective,Mild Side Effects,"After using the Retin A for several months I did notice a decrease in the amount of whiteheads on my checks. My skin seemed to appear brighter and my complexion was not as splotchy. While I did not get any more whiteheads, it did not completely remove the ones I had."
1294,wellbutrin,3,Considerably Effective,Moderate Side Effects,"The treatment was effective in reducing my ""appetite"" for smoking.  It also reduced my appetite for everything, including food.  Therefore, at first, I did manage to stop smoking WITHOUT gaining weight or being depressed about giving up the cigerates.  It just didn't seem important."
1295,byetta,1,Marginally Effective,Severe Side Effects,"I initially had severe cramping and nausea, but I continued under doctor's orders, I only lost about 20 pounds, tops.  I now have a larger host of problems I believe were started with this medication.  I have not used in 3 years."
1296,zovirax,10,Highly Effective,No Side Effects,"I have been plagued with peristent mutiple warts on my elbow for over 10 years. At Christmas - I decided to 'attack' the area again to clear it for the Summer. I used the freezing technique, but warts were clearly trying to spread outside the treated area onto fresh skin areas..  I then added the salicylic acid to the new growths but this just made my arm/skin sore.  I could see the only solution was to control the virus itself to prevent any new spread as the thickened areas died off with the cryotherapy. 
I used a thin smear of Acyclovir around the treated areas and all the new wart 'blistering' stoped iritating within an hour or so and died back.  If I left the cream off - they would start again.  I persisted with the cream daily for 2 weeks and for the first time in 10 years or more my arm is 'wart free' and I have healthy unbroken wart free skin."
1297,wellbutrin,1,Ineffective,Extremely Severe Side Effects,"I only started this medication to still treat my Anxiety and mild depression, but eliminate the desire not to want sex."
1298,advair-diskus,4,Marginally Effective,Moderate Side Effects,"Advair helped with my asthma initially, which was agrivated by an upper resperitory virus."
1299,cefzil,8,Considerably Effective,Mild Side Effects,"It got rid of a terrible ear infection. After 3 days, my ear infection pain was greatly diminished, but I kept taking it to be sure it was gone."
1300,wellbutrin,1,Ineffective,Extremely Severe Side Effects,I didn't feel that there were any benefits. I initially started taking Wellbutrin because it was tauted as having little to no sexual side effects. I really was highly disappointed in the overall experience of this drug. I immediately switched back to Effexor.
1301,lunesta,7,Considerably Effective,Mild Side Effects,Improved ability to fall asleep
1302,prozac,8,Moderately Effective,Mild Side Effects,"I felt better mood, optimism towards life in general, greater control of portion sizes. My recovery from anorexia was not easy, so I had a few months of moderate bulimia. It was then that my dosage grew bigger: 3 pills of 20 mg per day, though some days I would have 4 pills."
1303,retin-a,8,Considerably Effective,Mild Side Effects,"considerable reduction in fine lines,
smaller pore size
less acne,blackheads
general improvement in overall skin condition"
1304,ortho-tri-cyclen,10,Highly Effective,Mild Side Effects,Of all of the birthcontrol pills I've taken this was by far the one with the least number of negative side effects and it actually had several positive side effects.  It helped control my acne and kept me thin.  After several years I did notice a decrease in my libido which came back after I stopped taking birthcontrol pills altogether.  I was put on the generic version of this pill at somepoint and I had a completely different reaction.  I instantly gained about 15 pounds (mostly water weight I think because I looked puffy).  I found out after this reaction that generic pills don't have to be identical to the brand name drugs.  I learned the hard way.
1305,retin-a,8,Highly Effective,Moderate Side Effects,My acne scars continued to get better and better and eventually completely disappeared.
1306,protonix,10,Highly Effective,Mild Side Effects,"Within two days, the severe burning pain of the GERD disappeared. At three months of treatment, the pain from the ulcer has receded considerably. Because of the ulcer, however, I still have to be careful not to eat anything too acidic--very fresh pasta sauce with chunks of tomato--or too spicy."
1307,seroquel,1,Highly Effective,Moderate Side Effects,Seroqel seems to calm my mind.  It stopped terrible mood swings and irritability as well.
1308,zmax,1,Considerably Effective,Severe Side Effects,Antibiotic seemed to work quickly.  My throat felt better within hours of taking the first pill.
1309,desyrel,3,Marginally Effective,Severe Side Effects,"On the 3rd day, I was extremely elated and more uninhibited than usual; headache was still present, but seemed unimportant. In addition, I slept through the night with the first two 50 mg pills."
1310,premarin,10,Highly Effective,No Side Effects,"I did not have to go through the change of life so early in my life, never really felt any change, at the time it was the best way to remove all the endrometriosis that i had, and it never effected me much as in pain or my womenhood."
1311,lamictal,10,Highly Effective,No Side Effects,"According to my psychiatrist and to what I had read, lamictal could be very helpful for people with PTSD. I had tried dozens of meds over the years and, at the time, was totally crippled with anxiety despite being on all the other meds. listed above. Hours after starting Lamictal I was given relief and the anxiety and dissociative symptoms reduced markedly."
1312,flovent,10,Highly Effective,No Side Effects,"having suffered from asthma for most of my adult life, I began to rely on the albuterol (which should be only used as a rescue inhaler) multiple time per day.  After beginning the Flovent inhaler, my asthma was almost non-existent."
1313,vasotec,7,Considerably Effective,No Side Effects,"kept the high blood pressure normal. of course patient has also changed lifestyle - exercising four times a week, eating light sodium and low calorie foods. diet of vegetables and fish or white chicken, fruits and grains, no red meats. we believe it is both lifestyle and medication that have lowered the high blood pressure."
1314,renova,7,Moderately Effective,Mild Side Effects,Reduced acne
1315,effexor-xr,10,Highly Effective,No Side Effects,"Depression was gone for the first time in my life!  I finally knew what it was like to be ""normal""."
1316,warfarin,6,Considerably Effective,Moderate Side Effects,"Taking 3 mg of warfarin sufficiently thinned my blood so that I did not find it difficult to do everyday tasks.  I immediately felt better after I started the regimen in the spring of 2003.  My cough went away and I had a lot more energy.
I took this regimen for about 3 years, everyday.  I also found it easier to concentrate and think (what was I doing before it???)  It was as if my brain cleared up or something.  I breathed easier and I was more willing to tackle regular household chores.  I worked over 50 hours/week before and during this treatment."
1317,flexeril,7,Moderately Effective,Moderate Side Effects,"Some pain relief, only significant benefit was during severe breakthrough pain and/or muscle spasms.  Excellent sleep aid."
1318,lunesta,9,Considerably Effective,No Side Effects,"Getting to sleep is easy as is staying asleep.  When waking during the night, returning to sleep was not a problem.  The drug did not cause sleep so deep that waking and being coherent was difficult."
1319,claritin,7,Moderately Effective,No Side Effects,reduced headaches and sneezing
1320,armour-thyroid,10,Highly Effective,No Side Effects,"Within about 2 days I noticed I had more energy.  I wasn't waking up tired, I wasn't craving sugar and coffee and my mood improved dramatically.  I stayed on the medication for about 2 years.  Gradually I noticed that I didn't need as much so I cut back on my dose. Eventually I went off for a year or two.  Then when I noticed the old symptoms of mild depression, tiredness, sugar cravings etc., I went back on.  I found that the natural form of Armour allowed my thyroid to kickstart.  After talking to many people who have used the synthetic form, they didn't experience this.  Their thyroid seemed to shut down and they had to always take the drug."
1321,morphine,10,Considerably Effective,No Side Effects,"Relief of chronic intermittent pain. Also, relief from chronic ( post ) repeated surgery and repeated hospitalizations."
1322,seroquel,4,Highly Effective,Severe Side Effects,This drug knocked me out i did not wake during the night nor did I remember any dreams. It was difficult to get up in the morning.. This drug is an effective sleep aid but with recent concerns i think there are better choices...
1323,fosamax,1,Marginally Effective,Severe Side Effects,bone scan showed no increase bone loss.
1324,rifadin,8,Considerably Effective,No Side Effects,"The abcess and inflammation around the area disappeared. It is very important that MRSA abcesses be treated immediately. If you have a history of MRSA, get to your doctor and begin medication as quickly as possible. Rifmapin is a very effective drug for MRSA infections. The doctor will do a workup of all the effective medications against your specific MRSA infection and choose the appropriate antibiotic."
1325,lybrel,1,Ineffective,Moderate Side Effects,i couldn't get pregnant
1326,nexium,10,Highly Effective,No Side Effects,Had absolutely no problem with acid reflux while taking Nexium.
1327,claritin,8,Highly Effective,Mild Side Effects,"I live in a home with 3 cats and a dog, and was unable to breath in the morning secondary to all the animal dander.  After starting the claritin, I noticed a decrease in my allergy symptoms after about a week."
1328,ultram,10,Highly Effective,Moderate Side Effects,The pain from the muscle spasms was drastically reduced.
1329,provigil,10,Highly Effective,Mild Side Effects,"Immediately made me feel more focus, clear mind, energy, increase calmness. I started with 100mg once a day before work or in the morning on my days off and reduced to 50mg and still have all those benefits. Experienced little nausea, urine odor at the beginning. I don't feel like drinking alcohol anymore and if I drink too much, my hangovers are moderate. Very happy with it!"
1330,zyrtec,9,Highly Effective,Mild Side Effects,reduced hives associated with allergy. Lasted for 24 hours so did not need more than once a day. Was the only effective treatment. Doctor had switched to generic brand which did not work as effectivly. Available as otc now but I do not feel it is the same as the perscription strength was
1331,humira,7,Moderately Effective,No Side Effects,Seemed to quiet the disease down especially during the first year.  Colonoscopy showed most of the colon healed after that time.  Fistulas no longer occurred and stayed healed and erythema on legs did not recur once I started taking this.
1332,albuterol,7,Highly Effective,Mild Side Effects,"Having had asthma since I was a child, I have been using various medications for a long time. Thankfully I do not need to use albuterol daily, as I know some people do, but I use it as needed when I am experiencing an asthma attach. This happens on average once a month, less in warmer months, more during the winder.

As far as being effective albuterol, and the name brand inhaler is the best, and to my knowledge, still the only small inhaler that really works. I'm sure it has saved lives. With one inhalation I am able to breath again within minutes, this is even if I am having a bad attack, and am really strugling. So it is very effective"
1333,paxil,1,Considerably Effective,Severe Side Effects,It eliminated my depression.
1334,dispermox,8,Highly Effective,Moderate Side Effects,"I had an infected jaw, an abcess under a back molar that inflamed the entire left side of my lower jaw producing a large ping pong ball sized swelling. This was probably -- my dentist suggested -- due to an infected tooth root that had migrated to jaw tissue.
After taking the drug, the swelling started to lessen in about 36 hours and progressively lessened over the next 5 days until it was not visible."
1335,premarin-vaginal,9,Highly Effective,No Side Effects,"restored moisture, decreased itching, decreased urinary symptoms"
1336,neurontin,6,Moderately Effective,Moderate Side Effects,Less frequent and less severe migraines
1337,doryx,9,Highly Effective,Mild Side Effects,90% of new breakouts ceased after only 5 days.  I'm in about 9 days and my skin is fairly clear.  I'm very happy with the results.  My skin is not oily anymore either.  Also it cleared up my scalp problem that was pretty bad.
1338,renova,4,Moderately Effective,Moderate Side Effects,Not sure at this point.
1339,advair-hfa,9,Considerably Effective,No Side Effects,"Mucous very diminished, therefore, coughing has almost disappeared.  Not sure whether my condition is a form of asthma, COPD, or what, but this medication has so far certainly made it much less bothersome."
1340,lyrica,10,Highly Effective,Mild Side Effects,"Lyrica has made a huge difference with my fibromyalgia pain. I have had fibromyalgia for 13 plus years and was excited about the FDA finally approving Lyrica for fibromyalgia patients.  I would recomend that anyone suffering from fibromyalgia try this medication, along with a healthy diet and exercise. Lyrica is not a cure, but I have improved probably 75% over this last year."
1341,mirtazapine,6,Ineffective,Moderate Side Effects,"6hrs sleep per night. Vivid dreams. No other side effects exceptr morning anxity ++. Food tasted better at first, but this faded in a week. To sleep was good, but morning psychedelic effect no good. I sincerely doubt that the mirt would have been manageable without adjunctive benzodiazapine therapy and i wonder if the overall treatment out come would not have been better with benzo monotherapy as i presented with anxiety and insomnia and the M caused anxiety."
1342,cozaar,8,Considerably Effective,Mild Side Effects,Did lower my blood pressure after about 3 weeks. Remained lower during remainder of course and after the treatment ended.
1343,accutane,5,Highly Effective,Severe Side Effects,"My oily skin vanished. The skin cleared up finally. the painful cysts went away for 4 yrs during each treatment. However they will come back (for me anyways) after 4 yrs with stress, mentral cycle, I get them on my jaw line even if i just hold a alcohol swabbed cell phone...Its from mechanical pressure. They last forever and scar me! So the benefits were great but so are the side effects..."
1344,ortho-tri-cyclen-lo,8,Highly Effective,Mild Side Effects,"by taking as prescribed, the drug prevents pregnancy, regulates period, helps reduce acne."
1345,valtrex,10,Highly Effective,Mild Side Effects,I always have at least three cold sores either inside my mouth or on my lips. I started this medicine while I had a cold sore with the help of the medicine and the Abreva the pain was decreased and it went away a lot faster.
1346,doxycycline,8,Considerably Effective,No Side Effects,less redness in the face
1347,effexor,9,Highly Effective,Moderate Side Effects,"lifted mood from severely depressed to being able to live normally,still taking 75mg and pobably will be for forseeable future.happy to do that tho some of the side effects are not desirable it would be worse without it.helped with concentration and ablility to function.Also with confidence"
1348,vyvanse,9,Highly Effective,Mild Side Effects,"Lasted all day long, could put it in a drink,"
1349,levoxyl,10,Considerably Effective,No Side Effects,calm.  The reason that I went to the doctor was my son at 19 just reached full blown schizophrenia.  I was trying to find out his drastic change in behavior for about 4 years taking him to different doctors.  I drug tested him-none- alcohol-none.  My son was not the son I had raised. Started psychiatry doctors and diagnosed  with chronic paranoid schizophrenia.  Medication was prescribed.
1350,acyclovir,7,Highly Effective,No Side Effects,The acyclovir was highly effective even though taken late - ie a week or more after I first got shingles.  It was still spreading 7-10 days later but once I starteed taking this medicine it did clear up.  I was also relieved that I had very little lasting nerve pain afterwards
1351,augmentin,5,Considerably Effective,Severe Side Effects,The infection cleared
1352,chantix,10,Highly Effective,Moderate Side Effects,I was able to quit smoking after 7 days without major withdrawals.
1353,levaquin,8,Highly Effective,Mild Side Effects,"The sinus infections start lightening up within one day, the pressure disappeared within two days If the antibiotics were not prescribed in a timely matter, the infection would have lasted for month. I would have lost all sense of smell and taste for a very long period of time."
1354,cipro,8,Highly Effective,Moderate Side Effects,"By the 5th day, I was feeling much better."
1355,desyrel,10,Highly Effective,Moderate Side Effects,The medication took all my simptoms away completely!
1356,oxycodone-and-acetaminophen,7,Moderately Effective,Moderate Side Effects,"IT WORKED FOR RELIEVING SOME OF MY NECK AND BACK PAIN.  PLEASE NOTE, MY CAUSE OF PAIN WAS DUE TO SURGERY PAIN AND NOT YOUR NORMAL KIND OF BACK PAIN.  I MUST SAY THAT IT JUST KIND OF TOOK THE EDGE OFF OF THE SEVERE PAIN I WAS FEELING.
AS TIME WENT ON I BEGAN TO HEAL AND FEEL MUCH BETTER AND NOW IT TENDS TO WORK MUCH BETTER."
1357,celebrex,7,Moderately Effective,No Side Effects,anti-inflammatory and pain reduction claims.  I didn't notice much difference in the pain but the inflammation went down after a few weeks (not while taking the medication).
1358,doxycycline,6,Moderately Effective,Moderate Side Effects,"The drug relieved the sore throat and lungs, albeit within two or three days.  I continued to have coughing fits only at night."
1359,synthroid,10,Highly Effective,No Side Effects,"Hypothyroidism treatment -- restores proper thyroxine levels in body, not produced by my damaged thyroid gland. Without the medication, I would have not developed properly, and today I would suffer dramatic effects on energy levels, puffiness, cholesterol plaqueing and worse. Asthma and allergy treatment -- Ability to exercise without wheezing, ability to work outside among natural allergens, ability to clean around dust indoors,"
1360,doxycycline,8,Considerably Effective,Moderate Side Effects,"The perioral dermatitis cleared up within the first week. I had been suffering with it for several months.
My acne cleared up significantly, but I still had the occasional lesion."
1361,proscar,7,Considerably Effective,Moderate Side Effects,good hair growth
1362,differin,9,Considerably Effective,No Side Effects,fewer breakouts (due to both Adapalene and Metrogel) and quicker healing time attributed to Adapalene.
1363,asmanex,10,Highly Effective,No Side Effects,Preventative control of asthma symptoms.
1364,propecia,8,Considerably Effective,Mild Side Effects,"A slowing in androgenic alopecia, and some potential re-growth. The slowing of the male pattern balding creates an environment suitable for topical solutions to have stronger more effective yields."
1365,zyrtec,10,Highly Effective,Mild Side Effects,"no itching, no allergy, no dermagraphism"
1366,zovirax,7,Moderately Effective,No Side Effects,This ointment seemed to lessen the severity of the outbreak and duration.
1367,elidel,6,Marginally Effective,Mild Side Effects,"Decreased eczema patches, however did not fully heal them. The treatment did not help my skin being scaly from eczema."
1368,prozac,7,Considerably Effective,Mild Side Effects,"Before I began taking this, I had experienced a long time, chronic depression. After about one month of taking this I began feeling much better. Although things still are not perfect, and I have very blue periods, it has at least made life tolerable."
1369,claripel-cream,9,Highly Effective,No Side Effects,hydeoquione mitigated uneven tone of face as well as freckles.  It additionally left the skin with a taught texture.  My skin seemd to look 10 years younger
1370,nexium,7,Considerably Effective,Mild Side Effects,"Acid reflux stopped, I am told that the damage done by the effluxed acid will be healed.  But I am not sure if this drug really strengthens the sphincter such that acid reflux is stopped.  Nexium mainly reduces acid production, but does is stop the efflux is yet to be seen based on the results after stopping the treatment."
1371,proquin-xr,10,Highly Effective,No Side Effects,No diarrhea and better drug efficacy.
1372,amoxil,9,Highly Effective,Moderate Side Effects,"cleared up cough and chest infection, although the treatment worked it was difficult at first to decide how much better it was making me as I had hot flushes, dizziness and diarroheah, all in all it took a good 5 days to start working"
1373,flexeril,7,Considerably Effective,Moderate Side Effects,Much more relaxed evenings and better sleep.  Was able to sleep through the night.  Woke in mornings without back aches and pains.  Flexeril was effective as a muscle relaxant.
1374,augmentin,7,Highly Effective,No Side Effects,"It truly cleared my headache in three days. I felt no reason to finish the meds unless it was necessary. That pretty much sums it up as to say I would recommend it to others in need. I thank the drug and pharmecutical industry much indeed. Again, Thank you."
1375,lexapro,9,Highly Effective,Mild Side Effects,"Immediate benefits were realized, faster than my doctor anticipated. Also, I wouldn't always take Lexapro consistently, and when symptoms returned, by resuming Lexapro, I experienced results in 2-3 days."
1376,effexor,9,Highly Effective,Severe Side Effects,"I've taken various anti-depressants through the years, but this was the closest I ever came to a ""cure"". 
Granted, it was after I stopped taking the medication that this ""cure"" took place, but I never experienced this with other anti-depressants. While taking it, Effexor made me so sleepy all the time that I slept a good deal more than normal (10-12 hours daily). This is why I stopped taking it. But when I did, I felt better than I had in years. I remained depression-free for about 3 years. I then dealt with depression again for about 8-10 months (I didn't want to lose another 6-8 weeks taking the Effexor ""cure"" so I delayed, hoping I would just ""snap out of it"" on my own). When I finally conceded this wasn't going to happen, I returned to my doctor, who then convinced me to try something new, so I tried Cymbalta, hoping to get Effexor's benefits, without the side-effects. It worked well as long as I used it, but when I stopped, there was no ""cure"" like I'd had with Effexor. Now I take 600-1000 mg of samE. It's not as good as the post-Effexor experience, but I feel less dependant on the medical system for my maintenance, and I focus on physical health (good food, exercise, vitamins)to maintain my emotional health. Those things alone, unfortunately, do not completely do it for me, and that's where the samE comes in. It makes the difference."
1377,cipro,1,Considerably Effective,Extremely Severe Side Effects,urinary tract infection subsided
1378,prednisone,3,Highly Effective,Moderate Side Effects,"I was given a short course of prednisone to take, along with whatever antibiotic I was currently on, whenever the antibiotic alone was not clearing up the sinus infection.  The prednisone worked like a charm, but at a cost."
1379,lipitor,10,Highly Effective,No Side Effects,"i was told that i have high cholestrol and was very concerned about it so my doctor prescribed Lipitor. I had taken other drugs to lower my cholestrol, but they did not work as well as Lipitor, after taking the lipitor for 3 months my numbers dropped from 311 to 174. that was my goal and it worked... yay"
1380,lexapro,10,Considerably Effective,No Side Effects,"I had hit the wall dealing with work, cllients,and family. My general physician asked me to see a therapist to help get me going in the right direction. After one meeting it was recommended by both caregivers that I take something to help me get through this rough spot. After about 3 weeks I started feeling like things were easier to cope with and I was making good decisions and getting things done again."
1381,methotrexate,8,Highly Effective,Mild Side Effects,Treatment benefits from taking methotrexate included significantly reduced inflammation in the joints which led to reduced pain.  Overall fatigue was also minimized.
1382,tamiflu,9,Considerably Effective,No Side Effects,"Reduction of symptoms ( extreme tiredness, mild fever and muscle aches, dry cough ) within 24 hours. Resolution of symptoms within 48 hours."
1383,inspra,2,Considerably Effective,Severe Side Effects,"Prior to the Inspra I was on Spiractin, which I am back on now.  I took the inspra to reduce possibiity of gynecomastia, which was presenting in the form of breast pain.
My blood pressure normalised on both Spriractin and Inspra."
1384,flonase,8,Considerably Effective,No Side Effects,The medication is much cheaper than the other prescription medications like it and works very well.
1385,sulfasalazine,10,Highly Effective,No Side Effects,"Significantly reduced pain and swelling in lower back, hips, knees with in two weeks. Virtally no pain after one month. I have completey stopped all anti inflamitory drugs. Much increased range of motion and can now sit/stand for much longer periods of time with no pain."
1386,evista,1,Ineffective,Severe Side Effects,I didn't take the medicine long enough to get any benefits
1387,concerta,3,Marginally Effective,Severe Side Effects,"The 2 first day we're fantastic. I was easy going, task didn't birding me and I would overall say that my focus was good. However my well being was so great that I was mostly in my mind with great Joy."
1388,carac,7,Considerably Effective,No Side Effects,erradication of actinic keratoses. Patient has a history of squamous cell carcinoma
1389,zoloft,4,Marginally Effective,Severe Side Effects,"While I definitely did notice some improvement in my depression, I believe that Zoloft is far from being a truly effective antidepressant drug. My depression had somewhat subsided and my panic attacks were less severe, albeit not completely gone."
1390,minocycline,1,Ineffective,Severe Side Effects,"I originally took the medication in a smaller dose for 3-4 months and saw a reduction of pus-filled pimples. The physician increased the dose to hopefully increase the benefits, as I still had significant acne."
1391,prempro,10,Highly Effective,No Side Effects,Within two weeks I found the hot flashes had subsided.  After 4 weeks I no longer had night sweats.  It took 3 or 4 months for my depression to get better.  The release from depression was tremendous and such a relief.
1392,prilosec,3,Moderately Effective,Extremely Severe Side Effects,Reduction of acid.
1393,xanax,9,Highly Effective,Mild Side Effects,"All three medication, Alprazolam, Lipitor and Metformin were effective in treating insomnia, high cholesterol and insulin resistance.  Patient is evaluated every 3 months."
1394,imuran,7,Considerably Effective,Mild Side Effects,"The treatment reduced the symptoms of SLE that I was suffering from: these were pain and inflammation in my wrists, hands and fingers.  It also reduced some puffiness in my face - perhaps b/c I had inflammation in my jaw joint."
1395,diflucan,9,Considerably Effective,No Side Effects,"the infection vanished after 2 days, I had already tried canesten cream and that did not help cure the infection fully."
1396,crestor,1,Moderately Effective,Severe Side Effects,Cholesterol was lowered but would have needed larger dose to meet desirable levels.
1397,avita,3,Marginally Effective,Moderate Side Effects,There were no treatment benefits--See below--I hoped to begin to see some effects after several months but because I had so much difficulty with it I gave up.
1398,prinivil,1,Moderately Effective,Severe Side Effects,decreased bp
1399,spironolactone,6,Moderately Effective,No Side Effects,"This drug works great for water retention because it is a potassium-sparing diuretic.  However, it had only a moderate impact on acne. It did seem to help with premenstrual symptoms and cyclical acne, but not a complete cure by any means. No apparent impact on blackheads/hard plugs."
1400,byetta,10,Highly Effective,Mild Side Effects,Lowered HbA1C from 6.0 to 5.2 which has enabled me to go off numerous other anti diabetic medications which all had side effects.  The overall effect has been most agreeable including a loss of over 100 pounds of body fat.
1401,lexapro,4,Moderately Effective,Moderate Side Effects,"symptoms were numbed, I was able to better ""deal"" with life and get through my days without crying or having a nervous epsiode"
1402,nuvaring,3,Highly Effective,Moderate Side Effects,"It was nice to not have to worry about a pill every day, you can put one ring in and then don't have to worry about it for 3 weeks."
1403,vigamox,10,Highly Effective,No Side Effects,The rx cleared up my conjunctivitus. It was fast & easy to use. I was surpised @ how quickly it worked. It does sting when you use but on the other hand as soon as the pink eye goes away it doesnt sting anymore.
1404,zyprexa,10,Highly Effective,No Side Effects,Went from severely depressed before starting the medication to almost entirely free of depression a week after starting the medication; helped with insomnia.
1405,maxalt,10,Highly Effective,Mild Side Effects,Relief of migraine headache with in one hour and it stays away for 24 - 48 hours.  Migraines have been part of my life since I was 19.  This is the only medication that relieves my headaches so that I can function in my work and family life.
1406,avita,7,Moderately Effective,Mild Side Effects,"My skin felt much softer and my breakouts were far less frequent. My pores also looked smaller. The routine was also easy to maintain, as it only required nightly application."
1407,effexor,10,Considerably Effective,No Side Effects,Less severe mood swings and irritated moods.  Better able to concentrate.
1408,cipro,10,Highly Effective,Mild Side Effects,"My daughter is playing now finally and she seems to be feeling alot better. When she was hospitalized she was very ill she wouldnt move she was vomitting, diarhea, dehyrated, she had just a blank stare in her  eyes. Her kidney infection is very rare and i cant remember the name of it but it stars with a P."
1409,retin-a,10,Considerably Effective,No Side Effects,"I have seen a reduction in breakouts and a fresher,more even complection with a rosey look, and my skin is starting to normalize"
1410,neurontin,10,Highly Effective,Mild Side Effects,"This has enabled me to take half the amount of hydrocodone that I used to take.  The gabapentin potentiates the hydrocodone wonderfully.  It allows me to sleep better also.  It doesn't knock me out, just allows me to go to sleep when I want, dream, and wake up not groggy. I've also had fewer migraines since I've been on the gabapentin."
