term,idx,tf,df
recommend medication,33876,1,1
daily prevacid,9292,1,1
prevacid successfully,32138,1,1
successfully reduce,39975,1,1
stomach symptom,39404,1,1
symptom point,40661,1,1
point occur,31394,1,1
occur need,28959,1,1
need counter,27694,1,1
remedy use,34904,1,1
use past,44343,1,1
past anti,30391,1,1
gas antacid,17260,1,1
antacid medication,2497,1,1
high concentration,19565,1,1
focus take,16535,1,1
away irratibility,3774,1,1
irratibility aggitation,21874,1,1
aggitation feel,1361,1,1
calm felt,5851,1,1
felt help,15757,1,1
help extremely,19297,1,1
extremely add,14849,1,1
depressed make,10193,1,1
sense weight,36470,1,1
interacting,21724,1,1
comfortable interacting,7419,1,1
interacting social,21725,1,1
setting help,36583,1,1
chore activity,6710,1,1
also besides,1949,1,1
besides get,4915,1,1
get daily,17454,1,1
chore accomplish,6709,1,1
accomplish desire,544,1,1
desire attend,10436,1,1
attend social,3570,1,1
social event,38194,1,1
event pick,14193,1,1
pick hobby,31058,1,1
hobby increase,19704,1,1
overall since,29714,1,1
since happiness,37200,1,1
happiness positive,18771,1,1
nothing anxiety,28573,1,1
help fear,19299,1,1
fear crowd,15381,1,1
crowd also,8977,1,1
help hopelessness,19321,1,1
hopelessness encounter,19809,1,1
pvcs,33111,1,1
heart work,19149,1,1
well pvcs,45657,1,1
pvcs less,33112,1,1
breath able,5577,1,1
able physical,381,1,1
effective want,13066,1,1
want relieve,45054,1,1
heartburn everyday,19161,1,1
everyday symptom,14314,1,1
symptom heartburn,40620,1,1
heartburn due,19159,1,1
due acid,12229,1,1
benefit stomach,4837,1,1
stomach felt,39387,1,1
well acid,45524,1,1
reflux due,34351,1,1
due food,12263,1,1
food ingest,16623,1,1
saw moderate,35904,1,1
moderate decrease,26585,1,1
decrease inflammation,9863,1,1
inflammation cystic,21325,1,1
lesion case,23006,1,1
case mild,6129,1,1
acne cystic,713,1,1
cystic risk,9221,1,1
risk outweigh,35624,1,1
benefit injection,4758,1,1
injection do,21510,1,1
do properly,11262,1,1
make symptom,24989,1,1
bad resistance,4090,1,1
resistance antibiotic,35105,1,1
antibiotic end,2539,1,1
end different,13484,1,1
different powerful,10772,1,1
antibiotic try,2562,1,1
try two,43539,1,1
two separate,43698,1,1
separate time,36510,1,1
time result,42534,1,1
classwork,6847,1,1
work movie,46343,1,1
movie everything,27146,1,1
else might,13343,1,1
might go,26088,1,1
able become,314,1,1
become interested,4343,1,1
interested hobby,21751,1,1
hobby follow,19703,1,1
follow people,16583,1,1
people treat,30677,1,1
differently horse,10782,1,1
horse even,19867,1,1
even treat,14162,1,1
differently medicine,10783,1,1
medicine change,25685,1,1
life gain,23500,1,1
gain ability,17211,1,1
ability remember,296,1,1
thing conversation,41856,1,1
conversation classwork,8390,1,1
skinny,37592,1,1
niaspan definitely,28059,1,1
work lower,46331,1,1
lower lpa,24640,1,1
lpa understand,24670,1,1
understand high,43883,1,1
high lpa,19587,1,1
cause plaque,6244,1,1
plaque build,31275,1,1
build artery,5704,1,1
artery accord,3225,1,1
cardiologist high,6042,1,1
level lpa,23324,1,1
cause skinny,6254,1,1
skinny people,37593,1,1
people heart,30653,1,1
attack level,3515,1,1
range end,33362,1,1
take niaspan,41112,1,1
niaspan week,28062,1,1
week lpa,45340,1,1
lpa within,24671,1,1
bile,4995,1,1
reduce excess,34067,1,1
excess acid,14446,1,1
acid throat,667,1,1
irritation although,21935,1,1
although completely,2169,1,1
completely bending,7563,1,1
bending still,4643,1,1
still cause,39233,1,1
cause bile,6184,1,1
bile throat,4996,1,1
throat nighttime,42213,1,1
nighttime cough,28226,1,1
happen certain,18741,1,1
food definitely,16613,1,1
definitely trigger,10020,1,1
trigger irritation,43373,1,1
irritation protonix,21957,1,1
protonix last,32810,1,1
last similar,22695,1,1
similar medication,37134,1,1
try nexium,43509,1,1
nexium etc,28022,1,1
etc others,14018,1,1
others much,29547,1,1
effect headache,12788,1,1
headache dry,18941,1,1
mouth particularly,27101,1,1
few headache,15870,1,1
headache headache,18954,1,1
severe easy,36667,1,1
easy relieve,12542,1,1
relieve medication,34797,1,1
medication few,25521,1,1
few day,15866,1,1
work enjoy,46272,1,1
friend without,16991,1,1
worry headache,46479,1,1
collar,7230,1,1
dopey,11413,1,1
moderately dull,26612,1,1
pain collar,29878,1,1
collar bone,7231,1,1
bone injury,5344,1,1
injury pain,21525,1,1
still existent,39258,1,1
existent dopey,14551,1,1
dopey care,11414,1,1
alleviation post,1673,1,1
post hysterectomy,31570,1,1
hysterectomy depression,20333,1,1
post menopause,31576,1,1
entirely sure,13766,1,1
without mental,46077,1,1
mental side,25877,1,1
drug like,12009,1,1
like vicodin,23823,1,1
accelerated,510,1,1
uniform,43944,1,1
notice accelerated,28621,1,1
accelerated skin,511,1,1
cell turn,6326,1,1
turn peeling,43595,1,1
peeling new,30620,1,1
new skin,28000,1,1
skin come,37445,1,1
come brighter,7347,1,1
brighter young,5644,1,1
look combination,24279,1,1
combination obagi,7300,1,1
obagi skin,28842,1,1
become uniform,4387,1,1
uniform color,43945,1,1
color overall,7254,1,1
overall darker,29673,1,1
darker brown,9384,1,1
spot fade,38724,1,1
fade help,15103,1,1
much wrinkle,27314,1,1
wrinkle speak,46803,1,1
speak except,38578,1,1
except minimal,14420,1,1
minimal one,26344,1,1
one around,29161,1,1
area laugh,3116,1,1
laugh line,22765,1,1
change improvement,6428,1,1
improvement pimple,20802,1,1
pimple initial,31196,1,1
initial phase,21458,1,1
phase get,30961,1,1
bad get,4058,1,1
well monthly,45637,1,1
less treatment,23165,1,1
treatment definite,43164,1,1
radiate,33315,1,1
retin smooth,35395,1,1
skin reduced,37543,1,1
reduced fine,34209,1,1
line particularly,23889,1,1
particularly help,30339,1,1
help kind,19337,1,1
kind line,22388,1,1
line radiate,23892,1,1
radiate corner,33316,1,1
corner eye,8447,1,1
eye cheek,14897,1,1
cheek virtually,6530,1,1
virtually disappear,44757,1,1
disappear people,10959,1,1
remark within,34888,1,1
healthy less,19096,1,1
tired young,42680,1,1
young happy,47179,1,1
result use,35334,1,1
chiropractor,6623,1,1
grouchy,18416,1,1
away marked,3782,1,1
improvement insomnia,20791,1,1
insomnia long,21582,1,1
long require,24187,1,1
require clonazepam,35063,1,1
clonazepam felt,7091,1,1
felt weight,15821,1,1
shoulder disposition,36938,1,1
disposition improve,11152,1,1
year little,47009,1,1
little ache,23983,1,1
hip treat,19647,1,1
treat throught,43110,1,1
throught chiropractor,42238,1,1
chiropractor become,6624,1,1
become tolerable,4382,1,1
tolerable husband,42746,1,1
pleased think,31321,1,1
think much,41975,1,1
easy live,12528,1,1
live realize,24075,1,1
realize grouchy,33645,1,1
grouchy difficult,18417,1,1
difficult become,10795,1,1
anxiety cause,2637,1,1
cause ring,6247,1,1
ring ear,35598,1,1
ear sufficiently,12402,1,1
sufficiently allow,40064,1,1
allow rest,1722,1,1
rest sleep,35197,1,1
fluconazole,16427,1,1
drug fluconazole,11965,1,1
fluconazole quick,16428,1,1
quick easy,33144,1,1
easy way,12555,1,1
way get,45181,1,1
get systemic,17596,1,1
systemic drug,40819,1,1
drug level,12004,1,1
level fight,23304,1,1
fight skin,15926,1,1
skin fungus,37477,1,1
enought,13720,1,1
long enought,24154,1,1
enought know,13721,1,1
sleep one,37714,1,1
find sedative,16061,1,1
sedative effect,36189,1,1
actually increase,954,1,1
increase low,21010,1,1
dos lower,11428,1,1
dosage live,11469,1,1
live sound,24077,1,1
sleep knock,37687,1,1
knock delusion,22435,1,1
delusion hallucination,10069,1,1
hallucination hopefully,18663,1,1
hopefully good,19800,1,1
even split,14147,1,1
split pill,38690,1,1
pill severly,31151,1,1
severly reduce,36767,1,1
relaxed take,34620,1,1
away physical,3792,1,1
physical feeling,31000,1,1
feeling associate,15604,1,1
anxiety like,2687,1,1
like sweat,23812,1,1
sweat race,40417,1,1
thought make,42143,1,1
easy sleep,12545,1,1
sleep continue,37627,1,1
take take,41207,1,1
away mental,3783,1,1
mental stress,25881,1,1
stress clear,39661,1,1
mind worry,26323,1,1
mths,27173,1,1
november,28722,1,1
february,15402,1,1
week mths,45350,1,1
mths start,27174,1,1
start end,38966,1,1
end november,13495,1,1
november mid,28723,1,1
mid february,26070,1,1
february face,15403,1,1
face extremely,15007,1,1
extremely clear,14851,1,1
clear stop,6979,1,1
clear wrong,6996,1,1
wrong thing,46837,1,1
thing face,41866,1,1
need continue,27693,1,1
face remain,15033,1,1
remain clear,34863,1,1
ampicillin,2379,1,1
cure tooth,9077,1,1
tooth abscess,42816,1,1
abscess even,449,1,1
though ampicillin,42062,1,1
ampicillin fail,2380,1,1
fail cure,15114,1,1
suppose thin,40226,1,1
blood know,5221,1,1
know measure,22484,1,1
take husband,41044,1,1
husband year,20209,1,1
year leave,47004,1,1
leave kid,22912,1,1
kid another,22363,1,1
another woman,2491,1,1
woman sleep,46165,1,1
eat function,12577,1,1
function klonopin,17109,1,1
klonopin help,22406,1,1
help function,19308,1,1
function probably,17120,1,1
probably would,32364,1,1
would commit,46590,1,1
commit suicide,7439,1,1
suicide without,40131,1,1
enzymes,13785,1,1
12th,33,1,1
5th week,182,1,1
treatment liver,43217,1,1
liver enzymes,24092,1,1
enzymes come,13786,1,1
normal see,28429,1,1
see dr,36204,1,1
dr 12th,11643,1,1
12th find,34,1,1
find viral,16076,1,1
load come,24109,1,1
happend,18761,1,1
biploar,5013,1,1
effeect,13116,1,1
suspose help,40380,1,1
issue happend,21982,1,1
happend biploar,18762,1,1
biploar side,5014,1,1
side hyper,37032,1,1
hyper new,20239,1,1
drug suspose,12108,1,1
suspose effeect,40379,1,1
effeect cause,13117,1,1
gain little,17233,1,1
complete pain,7538,1,1
relief amazing,34682,1,1
pitch,31226,1,1
cricket,8954,1,1
well emotionally,45571,1,1
emotionally unable,13422,1,1
bed start,4435,1,1
treatment back,43136,1,1
back interest,3917,1,1
make nauseous,24953,1,1
nauseous huge,27593,1,1
huge plus,20148,1,1
plus far,31346,1,1
far concern,15232,1,1
concern like,7743,1,1
like cause,23693,1,1
effect happy,12787,1,1
feel mildly,15509,1,1
mildly nauseous,26264,1,1
nauseous day,27592,1,1
feel nearly,15515,1,1
nearly back,27616,1,1
normal emotionally,28382,1,1
emotionally concern,13414,1,1
concern make,7745,1,1
make hand,24926,1,1
hand quite,18697,1,1
quite shaky,33280,1,1
shaky awhile,36815,1,1
awhile reduced,3838,1,1
reduced caffeine,34208,1,1
caffeine intake,5810,1,1
intake subside,21681,1,1
subside complaint,39888,1,1
complaint make,7510,1,1
make ear,24904,1,1
ear ring,12400,1,1
ring time,35604,1,1
generally easy,17353,1,1
easy ignore,12523,1,1
ignore day,20428,1,1
need fan,27707,1,1
fan white,15216,1,1
white noise,45848,1,1
noise machine,28247,1,1
machine set,24754,1,1
set high,36573,1,1
high pitch,19593,1,1
pitch sound,31227,1,1
sound like,38517,1,1
like cricket,23705,1,1
cricket order,8955,1,1
able ignore,355,1,1
ignore enough,20429,1,1
really could,33676,1,1
give result,17725,1,1
result severe,35320,1,1
reaction medicine,33538,1,1
medicine break,25684,1,1
break rash,5517,1,1
rash elbow,33431,1,1
elbow wrist,13219,1,1
wrist area,46816,1,1
also swell,2118,1,1
swell eye,40441,1,1
eye one,14931,1,1
one morning,29224,1,1
take approx,40925,1,1
considerably smoother,7993,1,1
wreck,46762,1,1
anxiety sometimes,2729,1,1
sometimes full,38329,1,1
tablet rather,40862,1,1
rather enable,33468,1,1
enable ably,13437,1,1
ably cope,430,1,1
cope occasion,8423,1,1
occasion otherwise,28902,1,1
would nervous,46664,1,1
nervous wreck,27845,1,1
wreck honestly,46763,1,1
say help,35946,1,1
depression considerably,10236,1,1
considerably also,7971,1,1
also depression,1973,1,1
since able,37174,1,1
wellbutrin long,45746,1,1
long depression,24150,1,1
return believe,35420,1,1
believe eventually,4586,1,1
eventually may,14220,1,1
may able,25264,1,1
wellbutrin depression,45737,1,1
benefit bump,4688,1,1
bump skin,5727,1,1
skin gradually,37483,1,1
get small,17588,1,1
small go,37971,1,1
product unexpected,32586,1,1
unexpected benefit,43909,1,1
skin nice,37518,1,1
nice glow,28065,1,1
glow like,17777,1,1
like come,23698,1,1
come facial,7362,1,1
smoother use,38117,1,1
overtearing,29750,1,1
lid,23437,1,1
restasis help,35206,1,1
help tear,19440,1,1
tear relate,41374,1,1
problem dryness,32399,1,1
dryness reflex,12212,1,1
reflex overtearing,34336,1,1
overtearing mucous,29751,1,1
mucous discharge,27324,1,1
discharge irritated,11002,1,1
irritated eye,21925,1,1
redness lid,33989,1,1
lid swelling,23438,1,1
swelling irritate,40469,1,1
irritate initial,21918,1,1
initial time,21465,1,1
time therapy,42565,1,1
therapy extra,41738,1,1
extra artificial,14813,1,1
artificial tear,3266,1,1
tear effect,41368,1,1
effect lessoned,12806,1,1
holistic,19725,1,1
slows,37950,1,1
choose vicodin,6707,1,1
vicodin instead,44727,1,1
instead ibuprofin,21633,1,1
ibuprofin base,20369,1,1
base pain,4190,1,1
killer holistic,22376,1,1
holistic doctor,19726,1,1
doctor believe,11288,1,1
believe ibuprofin,4592,1,1
ibuprofin slows,20370,1,1
slows heal,37951,1,1
time vicodin,42582,1,1
vicodin literally,44728,1,1
literally noticable,23969,1,1
noticable side,28611,1,1
course take,8740,1,1
take limited,41069,1,1
amount acute,2332,1,1
total blood,42883,1,1
blood cholesterol,5213,1,1
level particular,23343,1,1
particular ldl,30323,1,1
ldl low,22818,1,1
lower significantly,24648,1,1
significantly hdl,37096,1,1
cholesterol elevate,6657,1,1
urge much,44130,1,1
ameliorate,2308,1,1
prometrium form,32703,1,1
form progesterone,16756,1,1
progesterone help,32632,1,1
help ameliorate,19234,1,1
ameliorate common,2309,1,1
common menopausal,7453,1,1
include insomnia,20913,1,1
toilet,42738,1,1
half take,18650,1,1
take even,40999,1,1
use toilet,44409,1,1
toilet around,42739,1,1
around problem,3203,1,1
back asleep,3880,1,1
asleep tried,3328,1,1
tried ambien,43364,1,1
ambien month,2297,1,1
dose still,11581,1,1
sleep plus,37722,1,1
plus ambien,31341,1,1
ambien make,2296,1,1
anxiety worse,2749,1,1
worse anxiety,46511,1,1
go generally,17871,1,1
content life,8114,1,1
life sweat,23573,1,1
sweat small,40418,1,1
small stuff,37990,1,1
stuff know,39813,1,1
know mean,22483,1,1
mean start,25359,1,1
start prozac,39027,1,1
prozac time,32918,1,1
less flair,23071,1,1
flair ups,16273,1,1
ups crohn,44087,1,1
disease less,11097,1,1
less diarhea,23052,1,1
diarhea cramping,10620,1,1
northridge,28491,1,1
spite,38684,1,1
screw,36106,1,1
freeway,16904,1,1
drum,12150,1,1
steer,39154,1,1
home destroy,19732,1,1
destroy northridge,10473,1,1
northridge earthquake,28492,1,1
earthquake earthquake,12434,1,1
earthquake already,12432,1,1
experience depressive,14615,1,1
symptom reluctant,40675,1,1
reluctant medication,34843,1,1
medication earthquake,25502,1,1
earthquake doctor,12433,1,1
recommend give,33873,1,1
give antidepressant,17658,1,1
antidepressant try,2590,1,1
try month,43505,1,1
month couple,26702,1,1
couple therapy,8716,1,1
therapy get,41740,1,1
track two,42954,1,1
find feel,16019,1,1
good spite,18178,1,1
spite therapist,38685,1,1
therapist tell,41726,1,1
tell screw,41447,1,1
screw family,36107,1,1
family drive,15185,1,1
drive freeway,11794,1,1
freeway sing,16905,1,1
sing top,37244,1,1
top lung,42834,1,1
lung play,24719,1,1
play air,31290,1,1
air drum,1470,1,1
drum steer,12151,1,1
steer wheel,39155,1,1
wheel car,45788,1,1
car old,6010,1,1
old back,29121,1,1
back thanks,3979,1,1
thanks medication,41704,1,1
organize life,29471,1,1
life focus,23495,1,1
focus move,16517,1,1
move ahead,27111,1,1
ahead instead,1449,1,1
instead stick,21641,1,1
stick know,39186,1,1
know thing,22505,1,1
do drive,11250,1,1
surely,40285,1,1
take excessive,41002,1,1
excessive prolong,14452,1,1
prolong spotting,32692,1,1
spotting bleeding,38754,1,1
bleeding slowly,5125,1,1
slowly surely,37946,1,1
surely everything,40286,1,1
everything go,14333,1,1
normal excessive,28385,1,1
excessive bleeding,14450,1,1
bleeding spot,5126,1,1
spot like,38733,1,1
twist,43653,1,1
swelling hand,40466,1,1
hand back,18676,1,1
back psoriatic,3953,1,1
arthritis finger,3237,1,1
also start,2108,1,1
start twist,39066,1,1
twist help,43654,1,1
slow psoriasis,37915,1,1
away week,3813,1,1
dose little,11552,1,1
little come,23992,1,1
back nothing,3936,1,1
maxalt relieve,25249,1,1
relieve typical,34818,1,1
typical symptom,43746,1,1
half could,18633,1,1
nothing would,28600,1,1
help topamax,19450,1,1
topamax preventative,42847,1,1
preventative still,32199,1,1
get occasional,17541,1,1
occasional push,28918,1,1
push thats,33052,1,1
thats use,41709,1,1
use maxalt,44310,1,1
maxalt hence,25247,1,1
hence afew,19490,1,1
control cause,8250,1,1
effect easy,12758,1,1
administer provide,1170,1,1
provide outcome,32865,1,1
outcome hop,29612,1,1
hop pleasant,19772,1,1
pleasant taste,31304,1,1
curler,9089,1,1
glaucoma,17767,1,1
low eyelash,24568,1,1
thicker darker,41811,1,1
darker less,9386,1,1
less need,23115,1,1
need mascara,27736,1,1
mascara eyelash,25204,1,1
eyelash curler,14961,1,1
curler product,9090,1,1
product lumigan,32563,1,1
lumigan contain,24690,1,1
contain active,8104,1,1
active ingredient,871,1,1
ingredient latisse,21405,1,1
latisse contain,22756,1,1
contain release,8108,1,1
release difference,34637,1,1
difference lumigan,10737,1,1
lumigan prescribe,24692,1,1
prescribe glaucoma,31863,1,1
glaucoma medication,17768,1,1
medication latisse,25551,1,1
latisse market,22758,1,1
market sell,25190,1,1
sell eyelash,36422,1,1
growth product,18471,1,1
erradicated,13876,1,1
thust,42277,1,1
retin seem,35393,1,1
seem minimize,36318,1,1
minimize fine,26362,1,1
line help,23884,1,1
pore greatly,31468,1,1
blackhead minimize,5079,1,1
minimize white,26377,1,1
head almost,18888,1,1
almost erradicated,1758,1,1
erradicated cystic,13877,1,1
cystic blemish,9219,1,1
blemish altogether,5130,1,1
altogether believe,2227,1,1
believe product,4610,1,1
product actually,32537,1,1
actually promote,966,1,1
promote quick,32712,1,1
quick cell,33143,1,1
turnover base,43611,1,1
result see,35319,1,1
see thust,36241,1,1
thust far,42278,1,1
indoor,21142,1,1
24hr,80,1,1
scientist,36089,1,1
understanding,43886,1,1
postpartum,31593,1,1
guilty,18497,1,1
weening,45439,1,1
recently saw,33839,1,1
saw pcp,35906,1,1
pcp annual,30583,1,1
annual exam,2447,1,1
exam major,14392,1,1
concern discuss,7740,1,1
discuss first,11078,1,1
first depression,16160,1,1
issue second,21994,1,1
second recently,36168,1,1
develop indoor,10517,1,1
indoor allergy,21143,1,1
allergy standard,1626,1,1
standard pcp,38906,1,1
pcp recommend,30585,1,1
recommend antidepressant,33864,1,1
antidepressant therapy,2589,1,1
therapy depression,41737,1,1
depression claritin,10230,1,1
claritin 24hr,6806,1,1
24hr non,81,1,1
non drowsy,28255,1,1
drowsy allergy,11850,1,1
allergy problem,1615,1,1
problem nurse,32437,1,1
nurse son,28810,1,1
son antidepressant,38395,1,1
antidepressant safe,2588,1,1
safe nurse,35828,1,1
nurse mother,28809,1,1
mother rather,27040,1,1
rather nursing,33477,1,1
nursing child,28813,1,1
child hand,6576,1,1
hand md,18692,1,1
md approve,25326,1,1
approve claritin,3055,1,1
claritin although,6807,1,1
although nurse,2195,1,1
nurse end,28808,1,1
end session,13498,1,1
session tell,36569,1,1
tell start,41448,1,1
claritin come,6809,1,1
back antidepressant,3875,1,1
antidepressant weened,2593,1,1
weened son,45437,1,1
son start,38410,1,1
claritin depression,6810,1,1
depression abate,10205,1,1
abate depressive,236,1,1
relieve inability,34791,1,1
night feeling,28127,1,1
feeling tiredness,15668,1,1
tiredness day,42682,1,1
day ache,9432,1,1
ache inability,610,1,1
inability concentrate,20847,1,1
concentrate since,7710,1,1
claritin like,6813,1,1
like switch,23813,1,1
switch flip,40517,1,1
flip quality,16384,1,1
increase significantly,21045,1,1
significantly feel,37092,1,1
time term,42563,1,1
term allergy,41569,1,1
allergy sneezing,1624,1,1
eye lessen,14925,1,1
lessen red,23206,1,1
red eye,33953,1,1
eye concern,14898,1,1
concern swelling,7748,1,1
area surround,3130,1,1
surround eye,40361,1,1
eye relieve,14937,1,1
relieve regardless,34806,1,1
regardless happy,34423,1,1
happy product,18805,1,1
product share,32576,1,1
share hope,36830,1,1
hope scientist,19791,1,1
scientist use,36090,1,1
use information,44287,1,1
information help,21387,1,1
help elusive,19291,1,1
elusive understanding,13355,1,1
understanding depression,43887,1,1
depression treatment,10359,1,1
perhaps alternative,30751,1,1
alternative postpartum,2159,1,1
postpartum depression,31594,1,1
many mother,25136,1,1
mother feel,27037,1,1
feel guilty,15475,1,1
guilty weening,18498,1,1
weening shortly,45440,1,1
shortly birth,36910,1,1
birth order,5031,1,1
order treat,29451,1,1
treat sadness,43103,1,1
sadness claritin,35820,1,1
claritin approve,6808,1,1
approve md,3058,1,1
md use,25331,1,1
use nursing,44335,1,1
nursing try,28814,1,1
try even,43474,1,1
even alternative,14065,1,1
alternative conventional,2157,1,1
conventional depression,8385,1,1
depression med,10301,1,1
feel skin,15560,1,1
smoother hopefully,38108,1,1
hopefully wrinkle,19802,1,1
wrinkle get,46787,1,1
deep quickly,9953,1,1
quickly anything,33170,1,1
period benefit,30774,1,1
mild feeling,26223,1,1
well return,45668,1,1
return health,35430,1,1
paradoxical,30247,1,1
suicidally,40123,1,1
mao,25160,1,1
parnate,30271,1,1
forbidden,16675,1,1
unanticipated,43817,1,1
camel,5911,1,1
without lethargy,46070,1,1
lethargy weight,23263,1,1
gain paradoxical,17237,1,1
paradoxical effect,30248,1,1
effect sexual,12885,1,1
sexual dysfunction,36780,1,1
dysfunction prozac,12358,1,1
make suicidally,24986,1,1
suicidally depress,40124,1,1
depress mao,10149,1,1
mao inhibitor,25161,1,1
inhibitor like,21436,1,1
like parnate,23782,1,1
parnate work,30272,1,1
except favorite,14415,1,1
favorite food,15373,1,1
food forbidden,16621,1,1
forbidden wellbutrin,16676,1,1
wellbutrin seem,45751,1,1
seem antidepressant,36257,1,1
antidepressant lift,2582,1,1
depression unanticipated,10362,1,1
unanticipated benefit,43818,1,1
get quit,17557,1,1
smoking go,38069,1,1
pack camel,29798,1,1
camel day,5912,1,1
aganst,1318,1,1
protection aganst,32799,1,1
aganst pregnancy,1319,1,1
pregnancy weight,31754,1,1
loss less,24440,1,1
hungry less,20181,1,1
acne effect,719,1,1
effect sex,12884,1,1
estradiol almost,13978,1,1
eliminate alternate,13248,1,1
alternate cold,2148,1,1
cold chill,7179,1,1
chill hot,6605,1,1
flash experience,16311,1,1
experience full,14633,1,1
drug derive,11924,1,1
derive within,10399,1,1
treatment estradiol,43184,1,1
appetite make,2980,1,1
feel young,15594,1,1
young energy,47176,1,1
energy think,13622,1,1
sleep least,37689,1,1
night peaceful,28164,1,1
peaceful state,30592,1,1
mind anxiety,26294,1,1
attack good,3506,1,1
good brain,18046,1,1
function brain,17091,1,1
fog insomnia,16558,1,1
concentration skill,7735,1,1
astonish,3451,1,1
reduction increase,34284,1,1
mobility range,26573,1,1
motion difference,27049,1,1
difference feel,10727,1,1
without mobic,46079,1,1
mobic astonish,26559,1,1
astonish unfortunately,3452,1,1
unfortunately drug,43921,1,1
drug six,12087,1,1
month straight,26804,1,1
straight begin,39606,1,1
effectiveness thus,13110,1,1
thus save,42275,1,1
save situation,35886,1,1
situation absolutely,37326,1,1
absolutely need,465,1,1
need travel,27774,1,1
travel sport,43033,1,1
sport etc,38710,1,1
period never,30815,1,1
felt ring,15801,1,1
ring inside,35600,1,1
inside intercourse,21556,1,1
intercourse every,21736,1,1
keep blood,22236,1,1
headache check,18930,1,1
check especially,6509,1,1
especially hormonal,13939,1,1
change right,6447,1,1
right period,35579,1,1
night fall,28124,1,1
asleep stay,3322,1,1
asleep able,3294,1,1
night whereas,28206,1,1
whereas get,45811,1,1
get couple,17451,1,1
misdiagnose,26487,1,1
fluocinonide,16448,1,1
unfortunately nothing,43927,1,1
nothing heal,28585,1,1
skin expensive,37465,1,1
expensive experiment,14575,1,1
experiment doctor,14740,1,1
doctor misdiagnose,11320,1,1
misdiagnose condition,26488,1,1
condition sever,7821,1,1
sever present,36610,1,1
present month,31990,1,1
month eventually,26715,1,1
eventually switch,14226,1,1
switch fluocinonide,40518,1,1
fluocinonide seem,16449,1,1
seem little,36312,1,1
deficit,9977,1,1
inattention,20863,1,1
concentraion,7687,1,1
reduce attention,34023,1,1
attention deficit,3574,1,1
deficit hyperactivity,9978,1,1
hyperactivity disorder,20245,1,1
disorder symptom,11137,1,1
include inattention,20911,1,1
inattention hyperactivity,20864,1,1
hyperactivity impulsivity,20247,1,1
impulsivity allow,20833,1,1
allow great,1702,1,1
great concentraion,18303,1,1
concentraion project,7688,1,1
project task,32681,1,1
hand often,18695,1,1
feel impossible,15488,1,1
impossible get,20655,1,1
get organize,17546,1,1
organize stick,29472,1,1
stick job,39185,1,1
job hand,22125,1,1
hand keep,18687,1,1
keep appointment,22228,1,1
appointment daily,3033,1,1
task get,41320,1,1
get ready,17560,1,1
time productive,42519,1,1
patient marked,30505,1,1
marked decrease,25179,1,1
due arthritis,12236,1,1
stiffness decrease,39203,1,1
decrease little,9874,1,1
little overall,24025,1,1
overall drug,29677,1,1
drug worth,12141,1,1
worth try,46545,1,1
try arthritis,43454,1,1
drug exactly,11949,1,1
exactly suppose,14388,1,1
suppose completely,40213,1,1
craving leave,8852,1,1
leave psychological,22919,1,1
psychological aspect,32950,1,1
aspect worry,3336,1,1
worry keep,46480,1,1
keep busy,22240,1,1
busy thought,5770,1,1
thought smoke,42153,1,1
smoke would,38053,1,1
never even,27916,1,1
even enter,14089,1,1
enter mind,13738,1,1
need pill,27750,1,1
everyday less,14307,1,1
compare amount,7480,1,1
amount birth,2335,1,1
control painful,8318,1,1
pain entire,29916,1,1
entire body,13745,1,1
go mean,17906,1,1
mean go,25356,1,1
little kid,24010,1,1
kid able,22362,1,1
able anything,308,1,1
anything also,2811,1,1
treatment slow,43279,1,1
slow reverse,37917,1,1
reverse degree,35478,1,1
degree osteoporosis,10043,1,1
osteoporosis side,29523,1,1
medicine bone,25683,1,1
scan evaluate,36004,1,1
evaluate change,14057,1,1
twin,43646,1,1
decent extra,9770,1,1
extra growth,14816,1,1
growth hair,18464,1,1
hair especially,18552,1,1
especially crown,13927,1,1
head ostensibly,18905,1,1
ostensibly front,29501,1,1
front scalp,17004,1,1
scalp hard,35995,1,1
tell overall,41440,1,1
overall definitely,29674,1,1
help preserve,19391,1,1
preserve hair,32001,1,1
hair twin,18607,1,1
twin brother,43647,1,1
brother effectively,5687,1,1
control group,8284,1,1
group since,18429,1,1
get pretty,17554,1,1
pretty bald,32115,1,1
ridden,35548,1,1
levora,23374,1,1
pill regulate,31146,1,1
cycle reduce,9152,1,1
occurance cramp,28979,1,1
cramp severe,8805,1,1
severe often,36703,1,1
often bed,29035,1,1
bed ridden,4431,1,1
ridden birth,35549,1,1
take previously,41141,1,1
previously undesirable,32260,1,1
gain experience,17226,1,1
experience levora,14652,1,1
argumentative,3136,1,1
patient mellow,30507,1,1
mellow angry,25772,1,1
angry argumentative,2412,1,1
argumentative also,3137,1,1
also suicidal,2116,1,1
ideation go,20396,1,1
away patient,3791,1,1
able keep,358,1,1
keep job,22271,1,1
long one,24181,1,1
get fire,17482,1,1
fire due,16128,1,1
due bad,12237,1,1
bad attitude,4029,1,1
wit,45934,1,1
never heart,27928,1,1
help wit,19460,1,1
wit chest,45935,1,1
pain slight,30065,1,1
slight calming,37830,1,1
effect workout,12937,1,1
workout without,46446,1,1
rate much,33449,1,1
lotronex,24521,1,1
thuogh,42263,1,1
lotronex use,24522,1,1
control diarrhea,8261,1,1
